rank_input,label,htf_bias,require_chart_trend,require_pattern,require_retest,require_ghost_sl_entry,session,trades,win_rate,return_pct,max_dd_pct,profit_factor,final_equity
88,bias=pair|trend0|pat0|ret0|ghost1|sess=newyork,pair,False,False,False,True,newyork,135,0.251852,2e-05,0.00073,1.009862,10000.2
89,bias=pair|trend0|pat0|ret0|ghost1|sess=overlap,pair,False,False,False,True,overlap,112,0.25,1.8e-05,0.003191,1.010847,10000.18
90,bias=pair|trend0|pat0|ret0|ghost1|sess=all,pair,False,False,False,True,all,177,0.259887,0.00014,0.000485,1.053387,10001.4
91,bias=pair|trend0|pat0|ret1|ghost0|sess=asia,pair,False,False,True,False,asia,0,0.0,0.0,0.0,0.0,10000.0
92,bias=pair|trend0|pat0|ret1|ghost0|sess=london,pair,False,False,True,False,london,0,0.0,0.0,0.0,0.0,10000.0
93,bias=pair|trend0|pat0|ret1|ghost0|sess=newyork,pair,False,False,True,False,newyork,0,0.0,0.0,0.0,0.0,10000.0
94,bias=pair|trend0|pat0|ret1|ghost0|sess=overlap,pair,False,False,True,False,overlap,0,0.0,0.0,0.0,0.0,10000.0
95,bias=pair|trend0|pat0|ret1|ghost0|sess=all,pair,False,False,True,False,all,0,0.0,0.0,0.0,0.0,10000.0
96,bias=pair|trend0|pat0|ret1|ghost1|sess=asia,pair,False,False,True,True,asia,0,0.0,0.0,0.0,0.0,10000.0
97,bias=pair|trend0|pat0|ret1|ghost1|sess=london,pair,False,False,True,True,london,0,0.0,0.0,0.0,0.0,10000.0
98,bias=pair|trend0|pat0|ret1|ghost1|sess=newyork,pair,False,False,True,True,newyork,0,0.0,0.0,0.0,0.0,10000.0
99,bias=pair|trend0|pat0|ret1|ghost1|sess=overlap,pair,False,False,True,True,overlap,0,0.0,0.0,0.0,0.0,10000.0
100,bias=pair|trend0|pat0|ret1|ghost1|sess=all,pair,False,False,True,True,all,0,0.0,0.0,0.0,0.0,10000.0
101,bias=pair|trend0|pat1|ret0|ghost0|sess=asia,pair,False,True,False,False,asia,116,0.224138,-0.000284,0.000782,0.842061,9997.16
102,bias=pair|trend0|pat1|ret0|ghost0|sess=london,pair,False,True,False,False,london,108,0.25,-4.1e-05,0.000504,0.974688,9999.59
103,bias=pair|trend0|pat1|ret0|ghost0|sess=newyork,pair,False,True,False,False,newyork,110,0.3,0.000356,0.001167,1.236989,10003.56
104,bias=pair|trend0|pat1|ret0|ghost0|sess=overlap,pair,False,True,False,False,overlap,55,0.254545,4e-05,0.001227,1.049447,10000.4
105,bias=pair|trend0|pat1|ret0|ghost0|sess=all,pair,False,True,False,False,all,222,0.234234,-0.0003,0.001348,0.911101,9997.0
106,bias=pair|trend0|pat1|ret0|ghost1|sess=asia,pair,False,True,False,True,asia,61,0.262295,6e-05,0.00035,1.066624,10000.6
107,bias=pair|trend0|pat1|ret0|ghost1|sess=london,pair,False,True,False,True,london,54,0.314815,0.00028,0.000463,1.378297,10002.8
108,bias=pair|trend0|pat1|ret0|ghost1|sess=newyork,pair,False,True,False,True,newyork,39,0.153846,-0.0003,0.000402,0.545453,9997.0
109,bias=pair|trend0|pat1|ret0|ghost1|sess=overlap,pair,False,True,False,True,overlap,26,0.153846,-0.0002,0.000312,0.545435,9998.0
110,bias=pair|trend0|pat1|ret0|ghost1|sess=all,pair,False,True,False,True,all,97,0.247423,-2e-05,0.000438,0.986262,9999.8
111,bias=pair|trend0|pat1|ret1|ghost0|sess=asia,pair,False,True,True,False,asia,0,0.0,0.0,0.0,0.0,10000.0
112,bias=pair|trend0|pat1|ret1|ghost0|sess=london,pair,False,True,True,False,london,0,0.0,0.0,0.0,0.0,10000.0
113,bias=pair|trend0|pat1|ret1|ghost0|sess=newyork,pair,False,True,True,False,newyork,0,0.0,0.0,0.0,0.0,10000.0
114,bias=pair|trend0|pat1|ret1|ghost0|sess=overlap,pair,False,True,True,False,overlap,0,0.0,0.0,0.0,0.0,10000.0
115,bias=pair|trend0|pat1|ret1|ghost0|sess=all,pair,False,True,True,False,all,0,0.0,0.0,0.0,0.0,10000.0
116,bias=pair|trend0|pat1|ret1|ghost1|sess=asia,pair,False,True,True,True,asia,0,0.0,0.0,0.0,0.0,10000.0
117,bias=pair|trend0|pat1|ret1|ghost1|sess=london,pair,False,True,True,True,london,0,0.0,0.0,0.0,0.0,10000.0
118,bias=pair|trend0|pat1|ret1|ghost1|sess=newyork,pair,False,True,True,True,newyork,0,0.0,0.0,0.0,0.0,10000.0
119,bias=pair|trend0|pat1|ret1|ghost1|sess=overlap,pair,False,True,True,True,overlap,0,0.0,0.0,0.0,0.0,10000.0
120,bias=pair|trend0|pat1|ret1|ghost1|sess=all,pair,False,True,True,True,all,0,0.0,0.0,0.0,0.0,10000.0
121,bias=pair|trend1|pat0|ret0|ghost0|sess=asia,pair,True,False,False,False,asia,147,0.272109,0.000279,0.000429,1.131723,10002.79
122,bias=pair|trend1|pat0|ret0|ghost0|sess=london,pair,True,False,False,False,london,152,0.217105,-0.00044,0.001078,0.815128,9995.6
123,bias=pair|trend1|pat0|ret0|ghost0|sess=newyork,pair,True,False,False,False,newyork,162,0.314815,0.000644,0.001043,1.292325,10006.44
124,bias=pair|trend1|pat0|ret0|ghost0|sess=overlap,pair,True,False,False,False,overlap,122,0.286885,0.000214,0.001401,1.124406,10002.14
125,bias=pair|trend1|pat0|ret0|ghost0|sess=all,pair,True,False,False,False,all,218,0.321101,0.00087,0.001988,1.293734,10008.7
126,bias=pair|trend1|pat0|ret0|ghost1|sess=asia,pair,True,False,False,True,asia,78,0.269231,0.00012,0.000424,1.105222,10001.2
127,bias=pair|trend1|pat0|ret0|ghost1|sess=london,pair,True,False,False,True,london,83,0.277108,0.00018,0.000333,1.149962,10001.8
128,bias=pair|trend1|pat0|ret0|ghost1|sess=newyork,pair,True,False,False,True,newyork,83,0.26506,0.0001,0.000311,1.081935,10001.0
129,bias=pair|trend1|pat0|ret0|ghost1|sess=overlap,pair,True,False,False,True,overlap,62,0.241935,-2.2e-05,0.002941,0.976195,9999.78
130,bias=pair|trend1|pat0|ret0|ghost1|sess=all,pair,True,False,False,True,all,107,0.233645,-0.00012,0.001335,0.925676,9998.8
131,bias=pair|trend1|pat0|ret1|ghost0|sess=asia,pair,True,False,True,False,asia,0,0.0,0.0,0.0,0.0,10000.0
132,bias=pair|trend1|pat0|ret1|ghost0|sess=london,pair,True,False,True,False,london,0,0.0,0.0,0.0,0.0,10000.0
133,bias=pair|trend1|pat0|ret1|ghost0|sess=newyork,pair,True,False,True,False,newyork,0,0.0,0.0,0.0,0.0,10000.0
134,bias=pair|trend1|pat0|ret1|ghost0|sess=overlap,pair,True,False,True,False,overlap,0,0.0,0.0,0.0,0.0,10000.0
135,bias=pair|trend1|pat0|ret1|ghost0|sess=all,pair,True,False,True,False,all,0,0.0,0.0,0.0,0.0,10000.0
136,bias=pair|trend1|pat0|ret1|ghost1|sess=asia,pair,True,False,True,True,asia,0,0.0,0.0,0.0,0.0,10000.0
137,bias=pair|trend1|pat0|ret1|ghost1|sess=london,pair,True,False,True,True,london,0,0.0,0.0,0.0,0.0,10000.0
138,bias=pair|trend1|pat0|ret1|ghost1|sess=newyork,pair,True,False,True,True,newyork,0,0.0,0.0,0.0,0.0,10000.0
139,bias=pair|trend1|pat0|ret1|ghost1|sess=overlap,pair,True,False,True,True,overlap,0,0.0,0.0,0.0,0.0,10000.0
140,bias=pair|trend1|pat0|ret1|ghost1|sess=all,pair,True,False,True,True,all,0,0.0,0.0,0.0,0.0,10000.0
141,bias=pair|trend1|pat1|ret0|ghost0|sess=asia,pair,True,True,False,False,asia,57,0.210526,-0.00018,0.000541,0.799993,9998.2
142,bias=pair|trend1|pat1|ret0|ghost0|sess=london,pair,True,True,False,False,london,55,0.218182,-0.000121,0.001054,0.856461,9998.79
143,bias=pair|trend1|pat1|ret0|ghost0|sess=newyork,pair,True,True,False,False,newyork,55,0.272727,6e-05,0.000397,1.074959,10000.6
144,bias=pair|trend1|pat1|ret0|ghost0|sess=overlap,pair,True,True,False,False,overlap,23,0.217391,-6e-05,0.000366,0.8333,9999.4
145,bias=pair|trend1|pat1|ret0|ghost0|sess=all,pair,True,True,False,False,all,121,0.22314,-0.0003,0.000554,0.840401,9997.0
146,bias=pair|trend1|pat1|ret0|ghost1|sess=asia,pair,True,True,False,True,asia,32,0.28125,8e-05,0.00035,1.173884,10000.8
147,bias=pair|trend1|pat1|ret0|ghost1|sess=london,pair,True,True,False,True,london,32,0.34375,0.00024,0.000455,1.571378,10002.4
148,bias=pair|trend1|pat1|ret0|ghost1|sess=newyork,pair,True,True,False,True,newyork,29,0.206897,-0.0001,0.000269,0.782595,9999.0
149,bias=pair|trend1|pat1|ret0|ghost1|sess=overlap,pair,True,True,False,True,overlap,12,0.166667,-8e-05,0.000251,0.59999,9999.2
150,bias=pair|trend1|pat1|ret0|ghost1|sess=all,pair,True,True,False,True,all,65,0.369231,0.00062,0.000467,1.756061,10006.2
151,bias=pair|trend1|pat1|ret1|ghost0|sess=asia,pair,True,True,True,False,asia,0,0.0,0.0,0.0,0.0,10000.0
152,bias=pair|trend1|pat1|ret1|ghost0|sess=london,pair,True,True,True,False,london,0,0.0,0.0,0.0,0.0,10000.0
153,bias=pair|trend1|pat1|ret1|ghost0|sess=newyork,pair,True,True,True,False,newyork,0,0.0,0.0,0.0,0.0,10000.0
