rank_input,label,htf_bias,require_chart_trend,require_pattern,require_retest,session,trades,win_rate,return_pct,max_dd_pct,profit_factor,final_equity,rank_pf
9,bias=off|trend0|pat0|ret1|sess=overlap,off,False,False,True,overlap,0,0.0,0.0,0.0,0.0,0.0,104
10,bias=off|trend0|pat0|ret1|sess=all,off,False,False,True,all,0,0.0,0.0,0.0,0.0,0.0,105
16,bias=off|trend0|pat1|ret1|sess=asia,off,False,True,True,asia,0,0.0,0.0,0.0,0.0,0.0,106
17,bias=off|trend0|pat1|ret1|sess=london,off,False,True,True,london,0,0.0,0.0,0.0,0.0,0.0,107
18,bias=off|trend0|pat1|ret1|sess=newyork,off,False,True,True,newyork,0,0.0,0.0,0.0,0.0,0.0,108
19,bias=off|trend0|pat1|ret1|sess=overlap,off,False,True,True,overlap,0,0.0,0.0,0.0,0.0,0.0,109
20,bias=off|trend0|pat1|ret1|sess=all,off,False,True,True,all,0,0.0,0.0,0.0,0.0,0.0,110
26,bias=off|trend1|pat0|ret1|sess=asia,off,True,False,True,asia,0,0.0,0.0,0.0,0.0,0.0,111
27,bias=off|trend1|pat0|ret1|sess=london,off,True,False,True,london,0,0.0,0.0,0.0,0.0,0.0,112
28,bias=off|trend1|pat0|ret1|sess=newyork,off,True,False,True,newyork,0,0.0,0.0,0.0,0.0,0.0,113
29,bias=off|trend1|pat0|ret1|sess=overlap,off,True,False,True,overlap,0,0.0,0.0,0.0,0.0,0.0,114
30,bias=off|trend1|pat0|ret1|sess=all,off,True,False,True,all,0,0.0,0.0,0.0,0.0,0.0,115
36,bias=off|trend1|pat1|ret1|sess=asia,off,True,True,True,asia,0,0.0,0.0,0.0,0.0,0.0,116
37,bias=off|trend1|pat1|ret1|sess=london,off,True,True,True,london,0,0.0,0.0,0.0,0.0,0.0,117
38,bias=off|trend1|pat1|ret1|sess=newyork,off,True,True,True,newyork,0,0.0,0.0,0.0,0.0,0.0,118
39,bias=off|trend1|pat1|ret1|sess=overlap,off,True,True,True,overlap,0,0.0,0.0,0.0,0.0,0.0,119
40,bias=off|trend1|pat1|ret1|sess=all,off,True,True,True,all,0,0.0,0.0,0.0,0.0,0.0,120
46,bias=pair|trend0|pat0|ret1|sess=asia,pair,False,False,True,asia,0,0.0,0.0,0.0,0.0,0.0,121
47,bias=pair|trend0|pat0|ret1|sess=london,pair,False,False,True,london,0,0.0,0.0,0.0,0.0,0.0,122
48,bias=pair|trend0|pat0|ret1|sess=newyork,pair,False,False,True,newyork,0,0.0,0.0,0.0,0.0,0.0,123
49,bias=pair|trend0|pat0|ret1|sess=overlap,pair,False,False,True,overlap,0,0.0,0.0,0.0,0.0,0.0,124
50,bias=pair|trend0|pat0|ret1|sess=all,pair,False,False,True,all,0,0.0,0.0,0.0,0.0,0.0,125
56,bias=pair|trend0|pat1|ret1|sess=asia,pair,False,True,True,asia,0,0.0,0.0,0.0,0.0,0.0,126
57,bias=pair|trend0|pat1|ret1|sess=london,pair,False,True,True,london,0,0.0,0.0,0.0,0.0,0.0,127
58,bias=pair|trend0|pat1|ret1|sess=newyork,pair,False,True,True,newyork,0,0.0,0.0,0.0,0.0,0.0,128
59,bias=pair|trend0|pat1|ret1|sess=overlap,pair,False,True,True,overlap,0,0.0,0.0,0.0,0.0,0.0,129
60,bias=pair|trend0|pat1|ret1|sess=all,pair,False,True,True,all,0,0.0,0.0,0.0,0.0,0.0,130
66,bias=pair|trend1|pat0|ret1|sess=asia,pair,True,False,True,asia,0,0.0,0.0,0.0,0.0,0.0,131
67,bias=pair|trend1|pat0|ret1|sess=london,pair,True,False,True,london,0,0.0,0.0,0.0,0.0,0.0,132
68,bias=pair|trend1|pat0|ret1|sess=newyork,pair,True,False,True,newyork,0,0.0,0.0,0.0,0.0,0.0,133
69,bias=pair|trend1|pat0|ret1|sess=overlap,pair,True,False,True,overlap,0,0.0,0.0,0.0,0.0,0.0,134
70,bias=pair|trend1|pat0|ret1|sess=all,pair,True,False,True,all,0,0.0,0.0,0.0,0.0,0.0,135
76,bias=pair|trend1|pat1|ret1|sess=asia,pair,True,True,True,asia,0,0.0,0.0,0.0,0.0,0.0,136
77,bias=pair|trend1|pat1|ret1|sess=london,pair,True,True,True,london,0,0.0,0.0,0.0,0.0,0.0,137
78,bias=pair|trend1|pat1|ret1|sess=newyork,pair,True,True,True,newyork,0,0.0,0.0,0.0,0.0,0.0,138
79,bias=pair|trend1|pat1|ret1|sess=overlap,pair,True,True,True,overlap,0,0.0,0.0,0.0,0.0,0.0,139
80,bias=pair|trend1|pat1|ret1|sess=all,pair,True,True,True,all,0,0.0,0.0,0.0,0.0,0.0,140
86,bias=weekly|trend0|pat0|ret1|sess=asia,weekly,False,False,True,asia,0,0.0,0.0,0.0,0.0,0.0,141
